DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
29.08.2018;0267/2016-2020/GR;267;Ratsfreier Mittwoch - für eine bessere Vereinbarkeit von Politik und Familie;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Marina Bruggmann;SP;4;Gina Rüetschi;GP;5;René Walther;FDP;2; Marlise Bornhauser;EDU;8;Pascal Schmid;SVP;1;Maja Bodenmann;CVP;3;Lucas Orellano;glp;6;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
29.08.2018;0268/2016-2020/GR;268;Grossratspräsidium für Nichtregierungsparteien;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Kurt Egger;GP;5;Ueli Fisch;glp;6;Wolfgang Ackerknecht;EVP;7;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
29.08.2018;0266/2016-2020/GR;266;Gesetzliche Verankerung der bedingten Einzonung;Parlamentarische Initiative;1;70.1 Raumplanung, Richtpläne;;;Raumplanungs- und Wohnungswesen;;;Urs Martin;SVP;1;Josef Gemperle;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;19.12.2018;
29.08.2018;0270/2016-2020/GR;270;Desolate Situation auf dem Rundholzmarkt;Einfache Anfrage;5;92.1 Forstwesen;;;Landwirtschaft;;;Daniel Vetterli;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.10.2018;;;;;;
29.08.2018;0269/2016-2020/GR;269;Überangebot von Sturm- und Käferholz - Kanton soll eigenes Holz für sich verwenden!;Einfache Anfrage;5;92.1 Forstwesen;;;Landwirtschaft;;;Paul Koch;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.10.2018;;;;;;
12.09.2018;0273/2016-2020/GR;273;Bericht über strategische Investitionen der Partizipationserlöse;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle;;;Finanzwesen;Staatspolitik;;Urs Martin;SVP;1;Daniel Eugster;FDP;2;Reto Lagler;CVP;3;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
12.09.2018;0273/2016-2020/GR;273;Bericht über strategische Investitionen der Partizipationserlöse;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle;;;Finanzwesen;Staatspolitik;;Urs Martin;SVP;1;Daniel Eugster;FDP;2;Reto Lagler;CVP;3;;;;;;;;;;;;;;;;;;;;;;10.09.2019;06.11.2019;erheblich;1;;;
12.09.2018;0167/2020-2024/GR;167;Bericht über strategische Investitionen der Partizipationserlöse;Motion;2;;;;Staatspolitik;Wirtschaft;;Urs Martin;SVP;1;Daniel Eugster;FDP;2;Reto Lagler;CVP;3;;;;;;;;;;;;;;;;;;;;;;10.09.2019;06.11.2019;;;;;
12.09.2018;0274/2016-2020/GR;274;Bericht zur Eingliederung in den 1. Arbeitsmarkt durch die IV Thurgau;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Barbara Müller;SP;4;Jakob Auer;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
12.09.2018;0274/2016-2020/GR;274;Bericht zur Eingliederung in den 1. Arbeitsmarkt durch die IV Thurgau;Antrag nach § 52 der Geschäftsordnung des Grossen Rates;7;83.1 AHV, IV, EL;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Barbara Müller;SP;4;Jacob Auer;SP;4;;;;;;;;;;;;;;;;;;;;;;;;;10.09.2019;06.11.2019;nicht erheblich;2;;;
